Test ID,Module,Scenario,Account,Role,Branch,Execution date,Expected result,Actual result,Status,Severity,Defect ID,Screenshot path,Retest status,Tester,Notes
UAT-AUTH-001,Authentication,Active and disabled login,uat.owner@sevenways.test,company_owner,UAT-CAI,,Active login succeeds and disabled login fails,,Not Executed,,,,,,
UAT-MASTER-001,Master Data,Egyptian UAT reference data,uat.owner@sevenways.test,company_owner,All,,Master data is visible and scoped,,Not Executed,,,,,,
UAT-CRM-001,CRM,Customer and vehicle cycle,uat.reception@sevenways.test,receptionist,UAT-CAI,,Customer and vehicle are created in Cairo,,Not Executed,,,,,,
UAT-QUO-001,Quotation,Create submit and approve quotation,uat.sales@sevenways.test,sales,UAT-CAI,,Server totals and approval are correct,,Not Executed,,,,,,
UAT-WO-001,Work Order,Appointment through work completion,uat.technician@sevenways.test,technician,UAT-CAI,,Materials and service states are correct,,Not Executed,,,,,,
UAT-QUALITY-001,Quality,Reject rework and approve,uat.quality@sevenways.test,quality_controller,UAT-CAI,,Rework blocks quality completion until passed,,Not Executed,,,,,,
UAT-SALES-001,Sales,Invoice post collection and credit note,uat.accountant@sevenways.test,accountant,UAT-CAI,,Document GL and customer balance reconcile,,Not Executed,,,,,,
UAT-AR-001,Receivables,Partial and full allocation,uat.accountant@sevenways.test,accountant,UAT-CAI,,Allocation and aging totals reconcile,,Not Executed,,,,,,
UAT-PUR-001,Purchasing,Requisition PO receipt invoice,uat.warehouse@sevenways.test,warehouse_keeper,UAT-CAI,,PO GRN AP and inventory reconcile,,Not Executed,,,,,,
UAT-AP-001,Payables,Supplier payment and credit note,uat.accountant@sevenways.test,accountant,UAT-CAI,,AP aging and GL reconcile,,Not Executed,,,,,,
UAT-INV-001,Inventory,Receipt transfer count adjustment,uat.warehouse@sevenways.test,warehouse_keeper,UAT-CAI,,Quantities movements and inventory GL reconcile,,Not Executed,,,,,,
UAT-ACC-001,Accounting,Post reverse and period lock,uat.accountant@sevenways.test,accountant,All,,Journals balance and locks are enforced,,Not Executed,,,,,,
UAT-BANK-001,Banking,Statement matching and reconciliation,uat.accountant@sevenways.test,accountant,UAT-CAI,,Bank position equals GL,,Not Executed,,,,,,
UAT-TR-001,Treasury,Cash session receipt payment transfer,uat.cairo.cashier@sevenways.test,uat_cashier,UAT-CAI,,Session and ledger totals reconcile,,Not Executed,,,,,,
UAT-CHQ-001,Cheques,Incoming and outgoing cheque states,uat.treasury.manager@sevenways.test,uat_treasury_manager,UAT-CAI,,Timeline and journals are correct,,Not Executed,,,,,,
UAT-MER-001,Merchant,Settlement fees and allocation,uat.treasury.manager@sevenways.test,uat_treasury_manager,UAT-CAI,,Gross fees tax and net reconcile,,Not Executed,,,,,,
UAT-EMP-001,Employee Finance,Commission expense and advance,uat.accountant@sevenways.test,accountant,UAT-CAI,,Employee balances and GL reconcile,,Not Executed,,,,,,
UAT-APR-001,Approvals,Task notification and delegation,uat.cairo.manager@sevenways.test,branch_manager,UAT-CAI,,SOD idempotency and delegation scope hold,,Not Executed,,,,,,
UAT-RPT-001,Reports,Dashboard reports and GL comparison,uat.owner@sevenways.test,company_owner,All,,All displayed totals reconcile,,Not Executed,,,,,,
UAT-EXP-001,Export,CSV XLSX and print security,uat.owner@sevenways.test,company_owner,All,,Filters scopes RTL and formula safety hold,,Not Executed,,,,,,
UAT-SEC-001,Security,Tenant branch IDOR uploads and errors,uat.cairo.manager@sevenways.test,branch_manager,UAT-CAI,,Unauthorized access is denied safely,,Not Executed,,,,,,
UAT-OPS-001,Operations,Health queue scheduler backup restore,uat.owner@sevenways.test,company_owner,All,,All operational drills pass,,Blocked by Environment,Blocker,UAT-ENV-001,,,,
